"endpoint","gene","HR_univ","p_univ","HR_multi","p_multi"
"OS","MMP9",1.09201051584558,0.0205155725993982,1.09129774308979,0.021701960429384
"OS","MMP1",1.17026274069972,6.07221257492323e-06,1.16980624064929,7.02441601891589e-06
"OS","MMP12",1.07211949824495,0.00289499356018213,1.07104800792597,0.00322911635243516
"OS","MMP14",1.18658561427166,0.00433794380813422,1.17908308157259,0.00695425212771684
"DSS","MMP9",1.08890996355594,0.0792315354812594,1.08823786482136,0.082158317786257
"DSS","MMP1",1.21746634331096,1.65067169869705e-05,1.21717392406897,1.87193124047153e-05
"DSS","MMP12",1.07949298908561,0.0101555305637986,1.07819759557746,0.0111977225055152
"DSS","MMP14",1.16350142583364,0.0550692555323169,1.15461223841244,0.0745209356693708
"PFI","MMP9",1.01325406455665,0.673757752694263,1.01340082445833,0.670369290248767
"PFI","MMP1",1.12213773223527,6.78267943692084e-05,1.122562883216,6.65252372765195e-05
"PFI","MMP12",1.01524829272304,0.442745841404687,1.01524334466426,0.442704294612127
"PFI","MMP14",1.09071028290311,0.101879464157816,1.09049830943746,0.105045583071047
"DFI","MMP9",1.00408006012102,0.908205925657908,1.00421494937014,0.905450887715748
"DFI","MMP1",1.11191376737427,0.000943172152420434,1.11187543491882,0.000935177622197351
"DFI","MMP12",1.00300431627095,0.894172397475247,1.0037043663907,0.870163175176248
"DFI","MMP14",1.05966116533976,0.339243752453273,1.06734849388393,0.284371589594931
