"sexo","n","mediana_MMP9","p_expressao","HR_MMP9","p_MMP9"
"Female",120,1.68965,0.883211312791305,1.03499385056692,0.581653599337951
"Male",249,1.5758,0.883211312791306,1.1309861122641,0.00970329729113489
