"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"GOBP_POSITIVE_REGULATION_OF_HEART_RATE",0.012531328320802,0.117467091151302,0.179054499269993,-0.651180544173911,-1.6151282661285,27,"ADRA1A;NPPA;AVPR1A;SLC1A1;ADM5;SCN3B;GCH1;EDN3;RYR2;ADM;EDN2;ADRB1"
"GOBP_DETECTION_OF_STIMULUS_INVOLVED_IN_SENSORY_PERCEPTION_OF_PAIN",0.0127069695802849,0.11884585931044,0.177673526439218,-0.629170799096995,-1.59656159586028,30,"NTSR1;TAC1;SCN11A;TRPV1;NTRK1;EPHB1;CXCL12;HTR2A;ASIC3;SCN9A;CARTPT;PHF24"
"GOBP_PROTEASOME_ASSEMBLY",0.0127846584099081,0.119304368390219,0.180467893079923,0.725093175458947,1.5959330731366,15,"SEM1;PSMG3;PSMB5;PSMD10;PSMG4;PSMG2;POMP;ADRM1;PSMD11;OTUD6B;PSMD9;PSMG1;UBLCP1"
"GOBP_POSITIVE_REGULATION_OF_NERVOUS_SYSTEM_DEVELOPMENT",0.012865090403338,0.119786367469111,0.167658528065765,-0.375639205264504,-1.31226123312616,277,"OXT;SLITRK3;SOX10;SLITRK6;NRXN1;SLITRK2;ADGRB3;CAMK2B;NTRK3;LRP2;L1CAM;MME;LRRN3;LRRTM1;LRRN1;FLRT1;PTPRD;NTRK1;PTPRZ1;EPHB1;CXCL12;WNT2;TRPC5;FLRT2;DCT;NTRK2;MAG;IL1RAP;GFAP;RELN;CBLN2;ADGRB1;CLSTN2;TGM2;CDH4;NLGN2;ASCL1;NUMBL;VEGFA;NKX6-1;RUFY3;RNF112;RND2;SLC7A5;CUX2;PLXNB1;WNT3;HAP1;LIG4;NLGN3;TIAM1;NGF;DSCAM;PARP6;LRRTM3;LINGO2;MAPRE3;DRD2;SS18L1;AMIGO3;CAPRIN2;TPBG;SRPX2;EFNA5;SEMA4D;LRRC24;NEURL1;SOX8"
"GOBP_GLUTAMATE_SECRETION",0.012906954344057,0.119907910669565,0.17632375173773,-0.640995279312278,-1.60446188848264,28,"NTSR1;AVPR1A;NPY5R;SYT4;GABBR1;NTRK2;PIANP;KMO;SNCA;APBA1;ADORA2A;ABCC8;GRM7;AVP;SLC38A2"
"GOBP_ANTERIOR_POSTERIOR_AXIS_SPECIFICATION",0.0130180082447386,0.120670267961251,0.186472629239996,0.510325096876828,1.50710084085873,60,"GPC3;MESP2;SIX2;TIFAB;HOXD8;AURKA;CRIPTO;GDF3;MESP1;TDRD5;TDRKH"
"GOBP_REGULATION_OF_GLUCOSE_METABOLIC_PROCESS",0.0131147540983607,0.121045660124743,0.170004278488927,-0.455944812847324,-1.42207893103336,104,"INS;ADIPOQ;GNB3;GCK;NNMT;LEP;C1QTNF1;MST1;IGF2;ACACB;C1QTNF12;IGF1;PRKAG3;IGFBP3;SLC45A3;SIK1;ACTN3;PPP1R3B;GNMT;PPARGC1A;FBP1;SORBS1;ZFP92;OGT;PRKAG2;PPP1R3E;GCG;RORA;KAT2A;CLK2;PHKA1;PPARA;ZNF692;TCF7L2;IGFBP4"
"GOBP_REGULATION_OF_LYMPHOCYTE_DIFFERENTIATION",0.013139371187236,0.121045660124743,0.193113963346815,0.370455473054911,1.31664206270355,238,"MDK;CDKN2A;TNFSF18;HLA-G;LEF1;IL4I1;SLAMF8;FOXJ1;HLA-DRA;CD74;ZNF683;IL12B;SOX4;CD86;HLA-DRB1;LGALS9;PSMB9;FANCD2;CTLA4;HLA-DOA;MMP14;CD2;CD83;PSMB3;PSMB4;SOX12;BATF;PSMB10;FOXP3;AP3B1;PSG9;RIPK2;IL2RA;SMARCE1;IL2RG;TNFSF9;TNFSF4;ACTB;RHOA;DDRGK1;PSMB2;XRCC6;PSMA6;BMP4;TCF7;BRD7;CD27;LGALS1;CD28;VSIR;PSMA7;NKAP;SART1;SMARCA4;PRKDC;BTN2A2;CD80;LILRB4;PSMA5;ADA;SMARCB1;PRDX2;PSMA2;PSMB8;FBXO7;CLPTM1;FANCA;PSMA4;PRELID1;SMARCC1;DROSHA;IL2;NDFIP1;PSMB1;TGFB1;SLC46A2;ITPKB;IL12RB1;FGL2;IL21;NLRP3;PIK3R6;SYK;AMBRA1;HMGB1;TGFBR2;NRARP;ERBB2;PSMA3;IL18;IHH;SPI1;SMARCD2;CRTAM;BAD;IL23R;ANXA1;IL4;PTPN6;IRF1;PPP2R3C;CD46;IL36B;KAT5"
"GOBP_VACUOLAR_TRANSPORT",0.0131457564575646,0.121045660124743,0.191387828756382,0.392292269528751,1.34625666319402,175,"ATP6V0D2;SLC30A2;RAB7B;SORT1;GRN;AP1M2;SQSTM1;LAMP2;TMEM50A;LAPTM5;CHMP2A;VPS28;AP3B1;LIPA;CLN3;VPS33A;VPS35;SLC30A3;CHMP4B;IRGM;BECN2;CHMP3;SNF8;TSG101;GNPTG;NAGPA;LAMP1;CLU;USE1;SNAPIN;ALDH7A1;MFSD1;VPS25;PRKN;TMEM106B;BIN1;PSAP;BECN1;VAMP7;VPS18;CHMP4C;ATP13A2;IGF2R;SNX27;AP4M1;NDFIP1;AP3S1;LEPROT;LEPROTL1;GNPTAB;ATP6V0D1;PLEKHF2;AP2M1;CHMP1B;MVB12A;VPS11;DTX3L;RAB7A;CHMP5;ARSB;LYSET;VPS51;VCP;CHMP6;VTI1B;HSPA8;AP3M1;CCZ1;NEDD4;NDP;STAM;KIF13A;VTI1A;VPS33B;ARL8B;NCOA4;UEVLD;SCARB2;MVB12B"
"GOBP_POSITIVE_REGULATION_OF_AUTOPHAGY_OF_MITOCHONDRION",0.0132917964693666,0.122104819227402,0.180467893079923,0.621944580247886,1.57592156810165,27,"GBA1;TOMM7;IRGM;CERS1;EIF2AK1;SLC25A5;UBE2A;VDAC1;ATP5IF1;PRKN;STUB1;HK2;PARK7;FBXO7"
