gene,p_logrank
MMP1,0.000888345291775616
CXCL2,0.0157473836070646
MMP9,0.022995175352478
BAX,0.129044369693777
HSP90AB1,0.324770438081894
TLR2,0.363300711883468
STAT3,0.708412275963136
ABCA1,0.732535561499649
CD36,0.988741606409749
