category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Human Diseases,Infectious disease: parasitic,hsa05143,African trypanosomiasis,2/30,37/9422,0.0540540540540541,16.9765765765766,5.50297495419383,0.00609102127758522,0.0233047770620652,0.0233047770620652,6401/5330,2
Organismal Systems,Immune system,hsa04660,T cell receptor signaling pathway,3/30,122/9422,0.0245901639344262,7.72295081967213,4.22404428438696,0.00666420271165599,0.0252236489731496,0.0252236489731496,2353/3551/5602,3
Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,3/30,125/9422,0.024,7.5376,4.15845516354112,0.00712650528321662,0.0266864878690665,0.0266864878690665,5330/4217/5602,3
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,3/30,130/9422,0.0230769230769231,7.24769230769231,4.05384179318679,0.00793866765568282,0.0294148527873721,0.0294148527873721,2353/5330/5602,3
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,3/30,133/9422,0.0225563909774436,7.08421052631579,3.9937020340195,0.00845125403122745,0.0309661519174556,0.0309661519174556,3551/6774/5602,3
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,2/30,44/9422,0.0454545454545455,14.2757575757576,4.98839258098145,0.00853328618179883,0.0309661519174556,0.0309661519174556,19/337,2
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,3/30,138/9422,0.0217391304347826,6.82753623188406,3.89750828437534,0.00934825186727782,0.0335773944620591,0.0335773944620591,2353/3551/5602,3
Human Diseases,Endocrine and metabolic disease,hsa04930,Type II diabetes mellitus,2/30,47/9422,0.0425531914893617,13.3645390070922,4.80254349786069,0.00969361336322533,0.0344661808470234,0.0344661808470234,3551/5602,2
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,3/30,142/9422,0.0211267605633803,6.63521126760564,3.82393475877515,0.0101046817050232,0.0355684796016816,0.0355684796016816,2353/3551/5602,3
Human Diseases,Neurodegenerative disease,hsa05017,Spinocerebellar ataxia,3/30,144/9422,0.0208333333333333,6.54305555555556,3.78820419449343,0.0104959581938793,0.0365799731113416,0.0365799731113416,5330/4217/5602,3
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,2/30,52/9422,0.0384615384615385,12.0794871794872,4.52774148983784,0.0117741964940857,0.040632521234492,0.040632521234492,19/337,2
Organismal Systems,Sensory system,hsa04740,Olfactory transduction,5/30,449/9422,0.0111358574610245,3.49740163325909,3.06459307114369,0.0127665300570096,0.043341892466949,0.043341892466949,163688/51806/816/810/815,5
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,3/30,155/9422,0.0193548387096774,6.07870967741936,3.60312842776708,0.0128055591379622,0.043341892466949,0.043341892466949,816/5330/815,3
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,3/30,156/9422,0.0192307692307692,6.03974358974359,3.58719247334652,0.0130288667031055,0.0436033098984275,0.0436033098984275,3551/6774/3665,3
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,3/30,157/9422,0.0191082802547771,6.00127388535032,3.57139462115068,0.0132544152248061,0.0436033098984275,0.0436033098984275,19/816/815,3
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,3/30,157/9422,0.0191082802547771,6.00127388535032,3.57139462115068,0.0132544152248061,0.0436033098984275,0.0436033098984275,163688/51806/810,3
