module	mean_Tumor	mean_Normal	diff	p	padj
Angio_EMT	0.0835724020242309	-0.120382563621283	0.203954965645514	0.000858328063656597	0.000980946358464682
Collagen	0.162100106882647	-0.328579680553756	0.490679787436404	1.35956604756816e-08	2.71913209513633e-08
Glycoprotein	0.118052222112405	-0.418699486090495	0.5367517082029	2.15958980501062e-15	8.63835922004247e-15
Integrin	0.263203819274523	-0.548980696618551	0.812184515893075	1.19472320289566e-20	9.55778562316531e-20
Laminin	0.117892001454215	-0.205683154227572	0.323575155681787	8.44148498691962e-07	1.35063759790714e-06
MMP	0.131127516357722	-0.286051752707009	0.417179269064731	1.47445524428534e-12	3.93188065142756e-12
TIMP	0.0525376417150768	-0.164864185945557	0.217401827660634	0.00741051437120498	0.00741051437120498
uPA_system	0.0858276877053454	-0.335692795468531	0.421520483173876	2.11941339616072e-05	2.82588452821429e-05
