ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment,log2err
GO:0150115,cell-substrate junction organization,6,0.702031285506453,1.50672447666811,0.0431784170945122,0.986261712534622,0.986261712534622,28,"tags=67%, list=13%, signal=60%",5747/5879/387/6714,0.321775918075361
GO:0150116,regulation of cell-substrate junction organization,6,0.702031285506453,1.50672447666811,0.0431784170945122,0.986261712534622,0.986261712534622,28,"tags=67%, list=13%, signal=60%",5747/5879/387/6714,0.321775918075361
GO:0071622,regulation of granulocyte chemotaxis,8,0.644767904294313,1.50432815197708,0.0592951264160971,0.986261712534622,0.986261712534622,23,"tags=50%, list=11%, signal=46%",5747/5595/5879/6352,0.321775918075361
GO:0007173,epidermal growth factor receptor signaling pathway,10,0.586940879598146,1.49225093201715,0.0769230769230769,0.986261712534622,0.986261712534622,28,"tags=40%, list=13%, signal=36%",4318/5747/5595/6714,0.276500599254472
GO:0000910,cytokinesis,7,0.644720381166965,1.48897023650084,0.0997229916897507,0.986261712534622,0.986261712534622,49,"tags=57%, list=23%, signal=45%",387/998/808/598,0.237793834423688
GO:0070542,response to fatty acid,4,0.788581085130507,1.4811173718407,0.0737327188940092,0.986261712534622,0.986261712534622,20,"tags=50%, list=9%, signal=46%",948/23236,0.252961123069611
GO:0090288,negative regulation of cellular response to growth factor stimulus,4,0.788461538461538,1.48089283862339,0.0737327188940092,0.986261712534622,0.986261712534622,48,"tags=100%, list=23%, signal=79%",5468/3593/3592/5291,0.252961123069611
GO:0033627,cell adhesion mediated by integrin,5,0.731574426100867,1.47777706759627,0.0890052356020942,0.986261712534622,0.986261712534622,43,"tags=80%, list=20%, signal=65%",7412/5747/6352/4067,0.245041785430996
GO:0032946,positive regulation of mononuclear cell proliferation,16,0.505717370290935,1.47373012423714,0.0575260186218272,0.986261712534622,0.986261712534622,54,"tags=56%, list=25%, signal=45%",29108/7412/959/6352/3593/3592/10451/4773/596,0.321775918075361
GO:0050671,positive regulation of lymphocyte proliferation,16,0.505717370290935,1.47373012423714,0.0575260186218272,0.986261712534622,0.986261712534622,54,"tags=56%, list=25%, signal=45%",29108/7412/959/6352/3593/3592/10451/4773/596,0.321775918075361
GO:0006911,"phagocytosis, engulfment",3,0.861244019138756,1.46914881530522,0.0364349603634251,0.984891487619199,0.984891487619199,32,"tags=100%, list=15%, signal=86%",948/5879/998,0.321775918075361
GO:0035567,non-canonical Wnt signaling pathway,3,0.861244019138756,1.46914881530522,0.0364349603634251,0.984891487619199,0.984891487619199,32,"tags=100%, list=15%, signal=86%",5879/387/998,0.321775918075361
GO:0060071,"Wnt signaling pathway, planar cell polarity pathway",3,0.861244019138756,1.46914881530522,0.0364349603634251,0.984891487619199,0.984891487619199,32,"tags=100%, list=15%, signal=86%",5879/387/998,0.321775918075361
GO:0001954,positive regulation of cell-matrix adhesion,3,0.860757327058877,1.46831859404774,0.037240144753961,0.986261712534622,0.986261712534622,18,"tags=67%, list=8%, signal=62%",948/5879,0.321775918075361
GO:0008630,intrinsic apoptotic signaling pathway in response to DNA damage,10,0.569666003971862,1.44833092209818,0.094017094017094,0.986261712534622,0.986261712534622,54,"tags=70%, list=25%, signal=55%",29108/581/9641/7186/7157/598/596,0.248911114434702
GO:0030194,positive regulation of blood coagulation,2,0.940680791445665,1.44500009388945,0.0350593984955441,0.984891487619199,0.984891487619199,7,"tags=50%, list=3%, signal=49%",948,0.321775918075361
GO:0050820,positive regulation of coagulation,2,0.940680791445665,1.44500009388945,0.0350593984955441,0.984891487619199,0.984891487619199,7,"tags=50%, list=3%, signal=49%",948,0.321775918075361
GO:1900048,positive regulation of hemostasis,2,0.940680791445665,1.44500009388945,0.0350593984955441,0.984891487619199,0.984891487619199,7,"tags=50%, list=3%, signal=49%",948,0.321775918075361
GO:1900407,regulation of cellular response to oxidative stress,2,0.940680791445665,1.44500009388945,0.0350593984955441,0.984891487619199,0.984891487619199,7,"tags=50%, list=3%, signal=49%",948,0.321775918075361
