category,subcategory,ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count
Organismal Systems,Endocrine system,hsa04917,Prolactin signaling pathway,3/30,71/9423,0.0422535211267606,13.2718309859155,5.86565218026477,0.00143840133814964,0.0069924824254776,0.0069924824254776,2353/5602/6774,3
Human Diseases,Endocrine and metabolic disease,hsa04932,Non-alcoholic fatty liver disease,4/30,157/9423,0.0254777070063694,8.00254777070064,5.00022761915,0.00145014550301098,0.0069924824254776,0.0069924824254776,2353/5602/3551/4217,4
Organismal Systems,Immune system,hsa04622,RIG-I-like receptor signaling pathway,3/30,72/9423,0.0416666666666667,13.0875,5.81840198800412,0.00149772772686283,0.00712432648453671,0.00712432648453671,5602/3551/3665,3
Environmental Information Processing,Signal transduction,hsa04022,cGMP-PKG signaling pathway,4/30,166/9423,0.0240963855421687,7.56867469879518,4.8253262598866,0.00178045181234746,0.00835625383928408,0.00835625383928408,810/163688/51806/5330,4
Human Diseases,Cancer: specific types,hsa05212,Pancreatic cancer,3/30,77/9423,0.038961038961039,12.2376623376623,5.59549444503395,0.00181742891091102,0.00841756548211419,0.00841756548211419,5602/3551/6774,3
Genetic Information Processing,"Folding, sorting and degradation",hsa04141,Protein processing in endoplasmic reticulum,4/30,175/9423,0.0228571428571429,7.17942857142857,4.66308622977526,0.00215993979078772,0.00987401047217243,0.00987401047217243,3310/3304/5602/4217,4
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,4/30,178/9423,0.0224719101123596,7.05842696629213,4.61154484646328,0.00229799150697951,0.0103704232109845,0.0103704232109845,815/5602/816/5330,4
Environmental Information Processing,Signal transduction,hsa04012,ErbB signaling pathway,3/30,86/9423,0.0348837209302326,10.956976744186,5.24207288645955,0.00249412750483868,0.0109741610212902,0.0109741610212902,815/5602/816,3
Organismal Systems,Endocrine system,hsa04911,Insulin secretion,3/30,86/9423,0.0348837209302326,10.956976744186,5.24207288645955,0.00249412750483868,0.0109741610212902,0.0109741610212902,815/816/5330,3
Organismal Systems,Immune system,hsa04658,Th1 and Th2 cell differentiation,3/30,93/9423,0.032258064516129,10.1322580645161,5.00159870712375,0.00311550062460885,0.0135389656773125,0.0135389656773125,2353/5602/3551,3
Human Diseases,Infectious disease: bacterial,hsa05130,Pathogenic Escherichia coli infection,4/30,201/9423,0.0199004975124378,6.25074626865672,4.2524235863856,0.00356540826470029,0.0153051671850549,0.0153051671850549,2353/5602/8795/3551,4
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,4/30,204/9423,0.0196078431372549,6.15882352941177,4.20972633622092,0.00375979825021767,0.0158448490588705,0.0158448490588705,815/816/6774/7097,4
Environmental Information Processing,Signaling molecules and interaction,hsa04061,Viral protein interaction with cytokine and cytokine receptor,3/30,100/9423,0.03,9.423,4.78540803787707,0.00382449242017789,0.0158448490588705,0.0158448490588705,2921/8795/2920,3
Human Diseases,Cardiovascular disease,hsa05415,Diabetic cardiomyopathy,4/30,205/9423,0.0195121951219512,6.12878048780488,4.1956833696425,0.00382617093751135,0.0158448490588705,0.0158448490588705,815/5602/816/5330,4
Metabolism,Lipid metabolism,hsa00591,Linoleic acid metabolism,2/30,31/9423,0.0645161290322581,20.2645161290323,6.07141509880557,0.00430249199098101,0.0174515867356704,0.0174515867356704,1558/1559,2
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,4/30,212/9423,0.0188679245283019,5.92641509433962,4.09992165281702,0.00431331831250945,0.0174515867356704,0.0174515867356704,810/163688/51806/5330,4
Human Diseases,Cancer: overview,hsa05207,Chemical carcinogenesis - receptor activation,4/30,217/9423,0.0184331797235023,5.78986175115207,4.03410665854385,0.00468602258366288,0.0187440903346515,0.0187440903346515,2353/1555/1543/6774,4
Human Diseases,Endocrine and metabolic disease,hsa04931,Insulin resistance,3/30,109/9423,0.0275229357798165,8.64495412844037,4.53680415683837,0.00487068576354519,0.0192638358288529,0.0192638358288529,5602/3551/6774,3
Environmental Information Processing,Signal transduction,hsa04066,HIF-1 signaling pathway,3/30,110/9423,0.0272727272727273,8.56636363636364,4.51095782520066,0.00499655710949841,0.0195420900282604,0.0195420900282604,815/816/6774,3
Organismal Systems,Nervous system,hsa04726,Serotonergic synapse,3/30,115/9423,0.0260869565217391,8.19391304347826,4.38647777226123,0.00565547696895797,0.0218761306931121,0.0218761306931121,1558/1559/5330,3
Human Diseases,Infectious disease: parasitic,hsa05143,African trypanosomiasis,2/30,37/9423,0.0540540540540541,16.9783783783784,5.5033014764702,0.00608977313689881,0.023300001567265,0.023300001567265,6401/5330,2
Organismal Systems,Immune system,hsa04660,T cell receptor signaling pathway,3/30,122/9423,0.0245901639344262,7.72377049180328,4.22433148541111,0.00666226094895398,0.0252162995057183,0.0252162995057183,2353/5602/3551,3
Environmental Information Processing,Signal transduction,hsa04071,Sphingolipid signaling pathway,3/30,125/9423,0.024,7.5384,4.1587396940436,0.00712443362530428,0.0266787301713522,0.0266787301713522,5602/5330/4217,3
Organismal Systems,Endocrine system,hsa04926,Relaxin signaling pathway,3/30,130/9423,0.0230769230769231,7.24846153846154,4.05412210217473,0.0079363688226948,0.0294063350061955,0.0294063350061955,2353/5602/5330,3
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,3/30,133/9423,0.0225563909774436,7.08496240601504,3.99397993801675,0.00844881245934411,0.0309598515636999,0.0309598515636999,5602/3551/6774,3
Organismal Systems,Digestive system,hsa04975,Fat digestion and absorption,2/30,44/9423,0.0454545454545455,14.2772727272727,4.98869511319167,0.00853155000476957,0.0309598515636999,0.0309598515636999,19/337,2
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,3/30,138/9423,0.0217391304347826,6.82826086956522,3.89778237612172,0.00934556164035479,0.0335677316061723,0.0335677316061723,2353/5602/3551,3
Human Diseases,Endocrine and metabolic disease,hsa04930,Type II diabetes mellitus,2/30,47/9423,0.0425531914893617,13.3659574468085,4.8028375062783,0.00969164714238585,0.0344591898395941,0.0344591898395942,5602/3551,2
Organismal Systems,Development and regeneration,hsa04380,Osteoclast differentiation,3/30,142/9423,0.0211267605633803,6.63591549295775,3.82420596446317,0.0101017828562855,0.0355582756541251,0.0355582756541251,2353/5602/3551,3
Human Diseases,Neurodegenerative disease,hsa05017,Spinocerebellar ataxia,3/30,144/9423,0.0208333333333333,6.54375,3.78847400818206,0.0104929517993606,0.0365694953799497,0.0365694953799497,5602/5330/4217,3
Organismal Systems,Digestive system,hsa04979,Cholesterol metabolism,2/30,52/9423,0.0384615384615385,12.0807692307692,4.52802305374009,0.0117718204550674,0.0406243215704286,0.0406243215704286,19/337,2
Organismal Systems,Sensory system,hsa04740,Olfactory transduction,5/30,449/9423,0.0111358574610245,3.49777282850779,3.06487728873524,0.0127610997068652,0.0433295846170289,0.0433295846170289,810/815/163688/816/51806,5
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,3/30,155/9423,0.0193548387096774,6.07935483870968,3.6033911364361,0.0128019227277586,0.0433295846170289,0.0433295846170289,815/816/5330,3
Human Diseases,Infectious disease: viral,hsa05160,Hepatitis C,3/30,156/9423,0.0192307692307692,6.04038461538462,3.58745457879732,0.0130251697933992,0.0435909473122487,0.0435909473122487,3551/6774/3665,3
Cellular Processes,Transport and catabolism,hsa04148,Efferocytosis,3/30,157/9423,0.0191082802547771,6.00191082802548,3.57165612999681,0.0132506572795756,0.0435909473122487,0.0435909473122487,19/815/816,3
Cellular Processes,Cell growth and death,hsa04218,Cellular senescence,3/30,157/9423,0.0191082802547771,6.00191082802548,3.57165612999681,0.0132506572795756,0.0435909473122487,0.0435909473122487,810/163688/51806,3
